0:39,21.89,12.37,13,4.29
1:39,21.53,12.37,13,4.29
2:39,21.21,12.43,13,4.28
3:39,20.87,12.43,13,4.28
4:39,20.37,12.37,13,4.27
5:39,19.63,12.37,14,4.25
6:39,19.09,12.43,14,4.24
7:39,20.56,12.54,14,4.3
8:39,22.92,12.7,13,4.35
9:39,24.87,12.7,13,4.36
11:39,29.69,12.79,12,4.35
12:39,29.13,12.54,12,4.32
13:39,29.81,12.54,12,4.31
14:39,30.97,12.54,12,4.31
15:39,31.14,12.54,12,4.29
16:40,31.12,12.54,12,4.28
17:40,30.35,12.37,12,4.27
18:39,28.72,12.21,12,4.23
19:39,26.98,12.01,12,4.2
20:39,25.22,12.01,12,4.17
21:40,23.94,12.01,12,4.14
22:39,22.97,12.01,12,4.13
23:40,21.81,12.01,12,4.11
