0:49,20.9,78.3,23.2,26.8,27,17.499999999999993,95
1:55,19.6,85.8,22.1,26.3,26.8,18.14516129032258,95
3:01,19.2,86.7,21.6,25.9,26.6,17.862903225806434,95
4:08,19.8,81.3,21.3,25.4,26.4,18.18548387096775,95
5:14,17.7,92,20.4,25.1,26.3,18.870967741935466,95
6:20,17.2,97.8,19.7,24.7,26.1,18.911290322580637,95
7:27,20.8,87.5,21.3,24.4,25.9,19.153225806451612,95
8:33,27.3,59.3,27.6,24.4,25.6,18.629032258064534,95
9:41,33.1,48.2,34.6,25.2,25.5,18.387096774193555,94
10:49,35.5,43.1,40.1,26.5,25.5,17.661290322580626,94
Hora,Temperatura do Ar (ºC),Humidade do Ar (%),Temperatura do Solo 10cm (ºC),Temperatura do Solo 20cm (ºC),Temperatura do Solo 30cm (ºC),Humidade do Solo (%),Bateria (%)
11:57,35.5,41.6,43.6,28.1,25.7,16.774193548387103,94
13:05,37.2,38.2,42.3,29.6,26,15.483870967741927,94
14:13,34.5,40.7,39.1,30.7,26.4,15.524193548387096,94
15:20,34.3,40.5,35.8,30.8,26.9,15.000000000000018,95
16:27,35.2,39.5,34.6,30.3,27.2,14.475806451612893,95
17:34,35.2,37.5,34.2,29.9,27.3,14.475806451612893,95
18:41,35.1,33.9,34.5,29.8,27.4,14.596774193548406,95
19:48,33.8,35.7,33.5,29.6,27.5,15.040322580645142,95
20:54,28.4,56.7,30.7,29.4,27.6,14.959677419354849,95
22:01,26.2,65.3,28.4,28.9,27.6,15.120967741935484,95
23:07,24.9,69.7,26.9,28.4,27.5,15.24193548387095,95
